,image_id,PredictionString
0,002a34c58c5b758217ed1f584ccbcfe9, 0 0.5309405326843262 678 480 931 750
1,004f33259ee4aef671c2b95d54e4be68, 14 0.9834501147270203 0 0 1 1
2,008bdde2af2462e86fd373a445d0f4cd,
3,009bc039326338823ca3aa84381f17f1,
4,00a2145de1886cb9eb88869c85d74080, 0 0.6896114945411682 744 608 1072 918
5,00b7e6bfa4dc1fe9ddd0ce74743e38c2, 0 0.9760042428970337 1068 691 1400 1030
6,011295e0bcdc7636569ab73bfdcc4450, 14 0.9998389482498169 0 0 1 1
7,013c169f9dad6f1f6485da961b9f7bf2,
8,01431a2618c0ace741e4e270a37e20b9, 14 1.0 0 0 1 1
9,0168eb925aa6f28a78b16134792f5d0e, 14 0.9749324321746826 0 0 1 1
10,016bc723c3ceedb78e27ebfe7032498e, 0 0.5217551589012146 620 501 860 765
11,0171021638f9272a34a41feb84ed47a0,
12,019df578e38053e614d483f7fb347b26, 0 0.9196030497550964 843 572 1169 880 3 0.532065749168396 705 811 1238 1120
13,01ded16689539deb30d0981fafd18465,
14,01eb30a37b6f5fed8a8d3ab2d1c0a7d6, 14 0.80908203125 0 0 1 1
15,01f8f17dba6c5e67ba5bcf30ce70ea3f, 14 0.6139912009239197 0 0 1 1
16,02199417ff2a400cff64249f0399f0d7, 14 0.9999861717224121 0 0 1 1
17,022a62478444fedf2dea1ba91aafdc48,
18,02425334e92510da663eb913ad0632ea, 14 0.7565138339996338 0 0 1 1
19,024e693014e70d448f650267bed661ae, 14 0.5458587408065796 0 0 1 1
20,0271d381c3e88527721efcfaf518be71,
21,0291515f5d14c34180a15712a55bf7bd, 14 0.6377297639846802 0 0 1 1
22,02b0ad6e22487b7e3f08093c42444b0f, 0 0.5408987402915955 626 527 875 801
23,02d04b6b6883fd92c12a3dde5d2ff6c0, 0 0.7514791488647461 872 636 1234 972
24,034814210bf2105ecb3e7ed6876f43e9, 14 0.8392520546913147 0 0 1 1
25,034b98d64dc012298afb3d33fe880193, 0 0.5715817213058472 829 679 1163 1041
26,037503b94eb68a16587a78bce365e681, 14 1.0 0 0 1 1
27,037dc0be7504c7d1c5ff967f4a0a491a, 14 0.9999929666519165 0 0 1 1
28,0386d9b8234215dc50eb1f66eb206d85,
29,038f69f3cf0aaa00c9d7337be434f316,
30,03a2e400656f58841beb7f62584ee3e9,
31,03a395d9fc03a6f8c5a50e693c20ab15,
32,03aca410943c7f131b16572f03ee2cf6, 11 0.5476333498954773 0 0 0 0 13 0.5414571166038513 0 0 0 0
33,03b796fd180662c4e579a4b8894486a9, 14 0.7786088585853577 0 0 1 1
34,03caacd475acb947a2f11d1a0d76a971, 0 0.6192622780799866 639 468 894 713
35,03da4593b25a2e0095170197050cb551,
36,03ea976a276b66285825246525357949, 14 0.9999998807907104 0 0 1 1
37,03f00327702f48c4b6726a0e1649a157,
38,03f4ef7ff19190f220b13c0059ac506b,
39,03f9ce3f34a38cf5c6411acd8fd4c5ff, 0 0.725878119468689 614 490 842 758
40,0403dda5a9bf46457517b604869d530d,
41,041c40e3f03d9af32b594c5186575a61, 0 0.5747478604316711 746 521 1011 790
42,043111cdad4d26204503d3396876046f, 7 0.7879624962806702 796 873 1328 1162 10 0.6025651097297668 735 560 1000 983
43,045a16fa7dd72c16b7b7d44ff10be428, 0 0.7635228633880615 731 584 1015 904
44,0461006c3061e71f2cf28da9565d7288,
45,04669ec4821d2dde14eb2f9a3f47eb7e,
46,047815a469503dfe21da4a12e2514a15, 0 0.5124120712280273 716 642 995 965
47,048ce999447fbb6a58ea17fac775288b,
48,0493431e2beef20230dfc2837e95fe7b, 14 1.0 0 0 1 1
49,0493df0059bd251e6dbb0dc71f5c5b45, 14 0.8799858093261719 0 0 1 1
50,04b68e83e611caf345b0a1dc9c65ec88, 14 0.999990701675415 0 0 1 1
51,04b700c4815f088728db9f093c739707, 0 0.5968910455703735 771 653 1080 989
52,04c6efbd31a676bb888a4f5bf53d03c1, 3 0.765920102596283 606 555 905 840 7 0.6923510432243347 532 736 930 1018
53,04cc236166c1ff638ff6200f2f2a397d,
54,04da0054eed9aa1c8b95ade5e6c16a00,
55,051b1b1edcbaa44059c7b3edbe70c3b8, 0 0.9937142729759216 592 355 784 576
56,0538230ced64be2db111ff5d07624db1,
57,056815f22ac3de9b9eb6fb963d4cfa5a,
58,05711a72a0819422965daa93f30b6f75, 14 0.9995331764221191 0 0 1 1
59,057afd48abd153972bb91397b71b66b8, 14 0.8483700156211853 0 0 1 1
60,05857909cbf214a6cbdef5306e18d48e, 0 0.5567734241485596 649 578 916 871
61,059ad332961631d8d2f4ab468a7e42d3, 3 0.5453071594238281 892 654 1286 983 3 0.6067731976509094 799 871 1335 1216
62,05a548fd37b6e44ab97a48dabee57c21, 14 0.8825287818908691 0 0 1 1
